company_name,parent_link,company_linkedin,cofounder_count,investment_manager_count,cofounders_name,cofounders_linkedin,investment_managers,cofounders_json,investment_managers_json,error
123Formbuilder,https://212.vc/123formbuilder/,https://www.linkedin.com/company/123formbuilder/,1,1,Florin Cornianu,https://www.linkedin.com/in/florincornianu,Maher Hakim,"[{""name"": ""Florin Cornianu"", ""linkedin"": ""https://www.linkedin.com/in/florincornianu""}]","[""Maher Hakim""]",
Aepnus,https://212.vc/aepnus/,https://www.linkedin.com/company/aepnus-technology/,2,1,Lukas Hackl | Bilen Akuzum,https://www.linkedin.com/in/lukashackl | https://www.linkedin.com/in/bilen-akuzum,Caglar Urcan,"[{""name"": ""Lukas Hackl"", ""linkedin"": ""https://www.linkedin.com/in/lukashackl""}, {""name"": ""Bilen Akuzum"", ""linkedin"": ""https://www.linkedin.com/in/bilen-akuzum""}]","[""Caglar Urcan""]",
Agrotics,https://212.vc/agrotics/,https://www.linkedin.com/company/agrotics/,1,1,Mehmet Coka,https://www.linkedin.com/in/mehmetcoka,Selma Bahcivanoglu,"[{""name"": ""Mehmet Coka"", ""linkedin"": ""https://www.linkedin.com/in/mehmetcoka""}]","[""Selma Bahcivanoglu""]",
Aibuild,https://212.vc/aibuild/,https://www.linkedin.com/company/ai-build/,2,1,Daghan Cam | Michail Desyllas,https://www.linkedin.com/in/daghan-cam-11490629 | https://www.linkedin.com/in/michail-desyllas-17785730,Caglar Urcan,"[{""name"": ""Daghan Cam"", ""linkedin"": ""https://www.linkedin.com/in/daghan-cam-11490629""}, {""name"": ""Michail Desyllas"", ""linkedin"": ""https://www.linkedin.com/in/michail-desyllas-17785730""}]","[""Caglar Urcan""]",
Appsamurai,https://212.vc/appsamurai/,https://www.linkedin.com/company/app-samurai/,1,1,Emre Fadillioglu,https://www.linkedin.com/in/emrefa,Ali Karabey,"[{""name"": ""Emre Fadillioglu"", ""linkedin"": ""https://www.linkedin.com/in/emrefa""}]","[""Ali Karabey""]",
Arcademonk,https://212.vc/arcademonk/,https://www.linkedin.com/company/arcademonk/,0,0,,,,[],[],
Artboard Studio,https://212.vc/artboard-studio/,https://www.linkedin.com/company/artboard-studio/,1,1,Mucahit Gayiran,https://www.linkedin.com/in/mucahitgayiran,Numan Numan,"[{""name"": ""Mucahit Gayiran"", ""linkedin"": ""https://www.linkedin.com/in/mucahitgayiran""}]","[""Numan Numan""]",
Avatao,https://212.vc/avatao/,https://www.linkedin.com/company/avatao/,1,1,Mark Felegyhazi,https://www.linkedin.com/in/felegyhazi,Ali Karabey,"[{""name"": ""Mark Felegyhazi"", ""linkedin"": ""https://www.linkedin.com/in/felegyhazi""}]","[""Ali Karabey""]",
B2Metric,https://212.vc/b2metric/,https://www.linkedin.com/company/b2metric/,1,1,Murat Hacioglu,https://www.linkedin.com/in/murat-hacioglu,Cagdas Yildiz,"[{""name"": ""Murat Hacioglu"", ""linkedin"": ""https://www.linkedin.com/in/murat-hacioglu""}]","[""Cagdas Yildiz""]",
Balerin,https://212.vc/balerin/,https://www.linkedin.com/company/balerin/,0,0,,,,[],[],
