company_name,company_vc_link
123FormBuilder,https://212.vc/123formbuilder/
Aepnus,https://212.vc/aepnus/
Agrotics,https://212.vc/agrotics/
Aibuild,https://212.vc/aibuild/
AppSamurai,https://212.vc/appsamurai/
Arcademonk,https://212.vc/arcademonk/
Artboard Studio,https://212.vc/artboard-studio/
Avatao,https://212.vc/avatao/
B2Metric,https://212.vc/b2metric/
Balerin,https://212.vc/balerin/
Bolt Insight,https://212.vc/bolt-insight/
Butigo,https://212.vc/butigo/
Chooch,https://212.vc/chooch/
Eluvium,https://212.vc/eluvium/
Ever Dye,https://212.vc/ever-dye/
Evercopy,https://212.vc/evercopy/
Evim.net,https://212.vc/evim-net/
ExoMatter,https://212.vc/exomatter/
Fazla,https://212.vc/fazla/
FibreCoat,https://212.vc/fibrecoat/
Flow48,https://212.vc/flow48/
Freya,https://212.vc/freya/
Getmobil,https://212.vc/getmobil/
Haelixa,https://212.vc/haelixa/
Hazinem,https://212.vc/hazinem/
HemenKiralık,https://212.vc/hemenkiralik/
HotelRunner,https://212.vc/hotelrunner/
Insider One,https://212.vc/insider-one/
Juphy,https://212.vc/juphy/
Keyrails,https://212.vc/keyrails/
Khenda,https://212.vc/khenda/
Mall IQ,https://212.vc/mall-iq/
Martı,https://212.vc/marti/
Meddy,https://212.vc/meddy/
Metrobi,https://212.vc/metrobi/
OMMA,https://212.vc/omma/
ParcaDeposu,https://212.vc/parcadeposu/
PhilosopherKing,https://212.vc/philosopherking/
Phitech,https://212.vc/phitech/
Qrambo,https://212.vc/qrambo/
RemotePass,https://212.vc/remotepass/
Reprai,https://212.vc/reprai/
Robolaunch,https://212.vc/robolaunch/
SOCRadar,https://212.vc/socradar/
SmartMessage,https://212.vc/smartmessage/
Solvoyo,https://212.vc/solvoyo/
Syntonym,https://212.vc/syntonym/
Trio Mobil,https://212.vc/trio-mobil/
Vizera,https://212.vc/vizera/
Voltfox,https://212.vc/voltfox/
Wellbees,https://212.vc/wellbees/
Werover,https://212.vc/werover/
iyzico,https://212.vc/iyzico/
one.five,https://212.vc/one-five/
